中文名,英文名,拉丁學名,屬名,種名,科別,萃取部位,萃取方式,化學家族,備註
佛手柑,Bergamot,Citrus aurantium ssp. bergamia,Citrus,aurantium ssp. bergamia,芸香科,果皮,壓榨法,單萜烯,
葡萄柚,Grapefruit,Citrus paradis,Citrus,paradis,芸香科,果皮,壓榨法,單萜烯,
檸檬,Lemon,Citrus limonum,Citrus,limonum,芸香科,果皮,壓榨法,單萜烯,
甜橙,Sweet Orange,Citrus sinensis,Citrus,sinensis,芸香科,果皮,壓榨法,單萜烯,
胡椒,Black Pepper,Piper nigrum,Piper,nigrum,胡椒科,漿果,蒸餾法,單萜烯,
杜松果,Juniper Berry,Juniperus communis,Juniperus,communis,柏科,漿果,蒸餾法,單萜烯,漿果與細枝
絲柏,Cypress,Cupressus sempervirens,Cupressus,sempervirens,柏科,針葉,蒸餾法,單萜烯,針葉與細枝
蘇格蘭松,"Pine, Scots",Pinus sylvestris,Pinus,sylvestris,松科,針葉,蒸餾法,單萜烯,針葉、嫩枝與松果，品質最佳的精油來自針葉
乳香,Frankincense,Boswellia carteri,Boswellia,carteri,橄欖科,乳香,蒸餾法,單萜烯,蒸餾法、二氧化碳超臨界萃取法
桔,Mandarin,Citrus reticulata,Citrus,reticulata,芸香科,果皮,壓榨法,單萜烯,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
